"ID" "species" "pca" "segclass" "colordiscrim"
"470" "Icterus_spurius" 1.72 1.93 2.82
"471" "Ixobrychus_exilis" 0.31 0.14 0.2
"472" "Jacana_spinosa" -0.97 -0.62 -0.54
"473" "Junco_hyemalis" -0.67 -0.51 -0.43
"474" "Jynx_torquilla" -0.45 -0.71 -0.59
"475" "Lagopus_lagopus" 0.07 -0.45 -0.44
"476" "Lagopus_leucura" 0.5 -0.53 -0.63
"477" "Lagopus_muta" -0.09 0.15 0.68
"478" "Lalage_atrovirens" 0.04 0.23 -0.14
"479" "Lalage_tricolor" 3.45 2.11 1.37
"480" "Lamprotornis_pulcher" -0.71 -0.1 -0.28
"481" "Laniocera_rufescens" -0.81 -0.71 -0.51
"482" "Lanius_collaris" -0.8 -0.73 -0.69
"483" "Lanius_cristatus" -0.19 -0.55 -0.47
"484" "Lanius_schach" -0.44 -0.7 -0.68
"485" "Larus_argentatus" 0.13 -0.66 -0.87
"486" "Larus_californicus" -0.26 -0.75 -0.72
"487" "Larus_canus" -0.04 -0.7 -0.82
"488" "Larus_delawarensis" -0.2 -0.71 -0.79
"489" "Larus_fuscus" -0.46 -0.72 -0.75
"490" "Larus_glaucescens" -0.4 -0.81 -0.85
"491" "Larus_marinus" 0.6 -0.43 -0.59
"492" "Legatus_leucophaius" -0.39 -0.83 -0.81
"493" "Nymphicus_hollandicus" 0.79 0.06 -0.01
"494" "Leucosticte_arctoa" -0.45 -0.33 -0.16
"495" "Lichenostomus_chrysops" -0.69 -0.79 -0.73
"496" "Lichenostomus_cratitius" -0.79 -0.78 -0.61
"497" "Lichenostomus_flavescens" -0.63 -0.71 -0.54
"498" "Lichenostomus_flavicollis" -0.68 -0.75 -0.56
"499" "Lichenostomus_flavus" -0.57 -0.84 -0.7
"500" "Lichenostomus_fuscus" -0.23 -0.55 -0.41
"501" "Lichenostomus_melanops" -0.48 -0.57 -0.33
"502" "Lichenostomus_ornatus" -0.44 -0.64 -0.46
"503" "Lichenostomus_penicillatus" 0.02 -0.36 -0.26
"504" "Lichenostomus_virescens" -0.48 -0.67 -0.54
"505" "Limnodromus_griseus" -0.58 -0.81 -0.66
"506" "Limnodromus_scolopaceus" -0.77 -0.73 -0.57
"507" "Limnothlypis_swainsonii" -0.58 -0.72 -0.63
"508" "Limosa_fedoa" -0.07 -0.61 -0.62
"509" "Limosa_haemastica" -0.69 -0.71 -0.56
"510" "Limosa_lapponica" -0.16 -0.34 -0.14
"511" "Loboparadisea_sericea" NA 1.16 NA
"512" "Lonchura_caniceps" -0.31 -0.46 -0.31
"513" "Lonchura_castaneothorax" -0.53 -0.66 -0.48
"514" "Lonchura_spectabilis" -0.86 -0.56 -0.43
"515" "Lonchura_striata" -0.82 -0.8 -0.65
"516" "Lonchura_tristissima" -0.85 -0.63 -0.49
"517" "Lophura_leucomelanos" 1.4 1.51 2.14
"518" "Loxia_curvirostra" 0.34 0 0.3
"519" "Loxia_leucoptera" -0.25 0.52 0.55
"520" "Luscinia_svecica" -0.29 0.66 0.32
"521" "Malurus_alboscapulatus" -0.54 3.15 1.13
"522" "Malurus_amabilis" 2.05 2.11 1.33
"523" "Malurus_coronatus" 0.68 0.95 0.83
"524" "Malurus_cyaneus" 5.42 4.48 4.3
"525" "Malurus_elegans" 3.21 2.14 1.79
"526" "Malurus_l.assimilis" 3.05 2.95 2.58
"527" "Malurus_lamberti" 3.81 1.49 2.65
"528" "Malurus_leucopterus" 3.15 6.1 4.78
"529" "Malurus_melanocephalus" 2.7 2.66 2.84
"530" "Malurus_pulcherrimus" 1.3 3.59 2.64
"531" "Malurus_s.melanotus" 6.05 4.62 4.58
"532" "Malurus_splendens" 7.18 4.07 3.85
"533" "Manacus_manacus" 5.74 2.3 1.91
"534" "Mandingoa_nitidula" -0.42 -0.46 -0.11
"535" "Manorina_flavigula" -0.35 -0.74 -0.54
"536" "Manorina_melanocephala" -0.66 -0.58 -0.56
"537" "Manucodia_ater" -0.44 2.03 0.63
"538" "Manucodia_chalybatus" -0.12 1 0.9
"539" "Manucodia_jobiensis" NA 0.61 NA
"540" "Manucodia_keraudrenii" -0.2 -0.13 -0.02
"541" "Margarornis_squamiger" -0.5 -0.61 -0.53
"542" "Megalurus_gramineus" -0.64 -0.49 -0.38
"543" "Megalurus_timoriensis" -0.64 -0.66 -0.54
"544" "Megapodius_reinwardt" -0.97 -0.59 -0.55
"545" "Melanerpes_aurifrons" 0.14 0.24 -0.12
"546" "Melanerpes_carolinus" -0.06 0.87 0.88
"547" "Melanerpes_erythrocephalus" -0.21 1.53 0.51
"548" "Melanerpes_formicivorus" -0.24 -0.16 -0.01
"549" "Melanitta_fusca" -0.55 0.28 0.13
"550" "Melanocharis_longicauda" -0.61 0.28 0.69
"551" "Melanocharis_nigra" 0.86 1.04 1.3
"552" "Melanocharis_striativentris" -0.79 -0.71 -0.61
"553" "Melanocharis_versteri" 1.03 1.12 2.74
"554" "Melanodryas_cucullata" 0.05 0.88 0.03
"555" "Melanodryas_vittata" -0.81 -0.71 -0.67
"556" "Meleagris_gallopavo" 1.17 0.33 0.35
"557" "Melidectes_belfordi" -0.82 -0.7 -0.66
"558" "Melidectes_ochromelas" -0.95 -0.67 -0.51
"559" "Melidectes_torquatus" -0.59 -0.58 -0.66
"560" "Melilestes_megarhynchus" -0.78 -0.68 -0.54
"561" "Meliphaga_analoga" -0.79 -0.83 -0.66
"562" "Meliphaga_gracilis" -0.45 -0.76 -0.61
"563" "Lichenostomus_leucotis" -0.78 -0.6 -0.57
"564" "Meliphaga_lewinii" -0.75 -0.7 -0.69
"565" "Meliphaga_montana" -0.52 -0.65 -0.39
"566" "Meliphaga_notata" -0.65 -0.73 -0.64
"567" "Melipotes_fumigatus" -0.53 -0.51 -0.7
"568" "Melithreptus_albogularis" -0.55 -0.2 -0.24
"569" "Melithreptus_brevirostris" -0.73 -0.73 -0.6
"570" "Melithreptus_lunatus" -0.51 -0.61 -0.66
"571" "Melopsittacus_undulatus" -0.23 -0.47 0.52
"572" "Melospiza_georgiana" -0.41 -0.18 -0.03
"573" "Melospiza_lincolnii" -0.59 -0.67 -0.6
"574" "Melospiza_melodia" -0.42 -0.55 -0.5
"575" "Melozone_kieneri" -0.62 -0.76 -0.56
"576" "Menura_novaehollandiae" -0.38 -0.61 -0.56
"577" "Mergus_merganser" 3.31 0.95 0.44
"578" "Mergus_serrator" 1.16 0.26 -0.01
"579" "Merops_apiaster" -0.26 -0.62 -0.24
"580" "Merops_ornatus" -0.04 -0.43 -0.09
"581" "Microcerculus_marginatus" -0.38 -0.62 -0.5
"582" "Microeca_fascinans" -0.11 -0.54 -0.63
"583" "Microeca_flavigaster" -0.05 -0.49 -0.36
"584" "Microeca_flavovirescens" -0.67 -0.65 -0.5
"585" "Microeca_papuana" -0.74 -0.64 -0.13
"586" "Miliaria_calandra" -0.79 -0.8 -0.72
"587" "Milvus_migrans" -0.55 -0.66 -0.64
"588" "Mimus_polyglottos" -0.15 -0.57 -0.7
"589" "Mino_dumontii" -0.62 0 -0.59
"590" "Mionectes_macconnelli" -0.79 -0.4 0.11
"591" "Mionectes_rufiventris" -0.74 -0.78 -0.51
"592" "Mniotilta_varia" 0.46 0 -0.42
"593" "Molothrus_ater" 0.75 0.62 0.96
"594" "Molothrus_bonariensis" 0.59 3.79 2.83
"595" "Monarcha_axillaris" -0.41 1.65 0.31
"596" "Monarcha_chrysomela" 1.46 1.56 3.57
"597" "Monarcha_frater" -0.45 1.4 NA
"598" "Monarcha_guttula" -0.56 0.33 -0.54
"599" "Monarcha_leucotis" -0.32 -0.41 -0.55
"600" "Monarcha_manadensis" 0.14 3.2 0.51
"601" "Monarcha_melanopsis" -0.75 -0.28 -0.71
"602" "Monarcha_trivirgatus" -0.83 1.06 NA
"603" "Motacilla_alba" -0.07 -0.42 -0.46
"604" "Motacilla_flava" -0.26 0.25 1.24
"605" "Myiagra_alecto" 3.51 2.93 2.69
"606" "Myiagra_inquieta" -0.51 -0.41 -0.53
"607" "Myiagra_rubecula" 0.51 0.78 0.8
"608" "Myiarchus_antillarum" -0.81 -0.89 -0.71
"609" "Myiarchus_cinerascens" -0.18 -0.67 -0.73
"610" "Myiarchus_crinitus" -0.47 -0.56 -0.63
"611" "Myiarchus_nugator" -0.49 -0.69 -0.64
"612" "Myiarchus_sagrae" -0.58 -0.77 -0.71
"613" "Myiarchus_tuberculifer" -0.42 -0.73 -0.72
"614" "Myiarchus_tyrannulus" -0.25 -0.44 -0.52
"615" "Myiobius_barbatus" 0.56 0.11 1.15
"616" "Myioborus_miniatus" -0.32 0.1 -0.04
"617" "Myiodynastes_maculatus" 0.5 -0.34 -0.39
"618" "Myiopagis_gaimardii" 0.94 -0.04 -0.27
"619" "Myiopagis_viridicata" 0.31 -0.15 0.47
"620" "Myzomela_erythrocephala" 0.37 1.56 0.53
"621" "Myzomela_obscura" -0.56 -0.67 -0.64
"622" "Myzomela_rosenbergii" 0.14 1.27 1.89
"623" "Myzomela_sanguinolenta" 1.17 3.41 2.21
"624" "Nectarinia_jugularis" 0.46 0.37 0.03
"625" "Nectarinia_osea" 0.88 1.39 2.96
"626" "Neochmia_modesta" -0.69 -0.63 -0.46
"627" "Neochmia_phaeton" 0.44 0.49 0.51
"628" "Neochmia_ruficauda" -0.22 0.15 -0.24
"629" "Neochmia_temporalis" -0.59 -0.52 -0.33
"630" "Ninox_boobook" -0.36 -0.51 -0.4
"631" "Notharchus_macrorhynchos" -0.68 -0.3 -0.63
"632" "Nothoprocta_cinerascens" -0.38 -0.71 -0.6
"633" "Pygochelidon_cyanoleuca" -0.28 0.55 0.08
"634" "Numenius_phaeopus" 0.09 -0.65 -0.7
"635" "Numida_meleagris" -0.43 -0.65 -0.71
"636" "Nyctibius_griseus" -0.46 -0.77 -0.74
"637" "Nycticorax_nycticorax" -0.24 -0.27 -0.5
"638" "Oceanodroma_leucorhoa" -0.82 -0.78 -0.67
"639" "Oceanodroma_melania" -0.75 -0.49 -0.29
"640" "Oenanthe_oenanthe" 0.25 0.01 0.33
"641" "Onychorhynchus_coronatus" -0.21 -0.51 0.17
"642" "Oporornis_formosus" -0.45 -0.58 -0.29
"643" "Oporornis_philadelphia" 0.33 -0.18 0.1
"644" "Oporornis_tolmiei" -0.15 -0.23 0.1
"645" "Oreoica_gutturalis" -0.13 -0.59 -0.56
"646" "Oreopsar_bolivianus" -0.87 0.05 -0.21
"647" "Oriolus_flavocinctus" -0.35 -0.43 -0.14
"648" "Oriolus_sagittatus" -0.09 -0.48 -0.41
"649" "Oriolus_szalayi" -0.06 -0.57 -0.52
"650" "Ortalis_motmot" -0.88 -0.71 -0.55
"651" "Ortalis_vetula" -0.82 -0.69 -0.55
"652" "Orthonyx_spaldingii" 0.48 0.55 0.99
"653" "Orthonyx_temminckii" 0.29 0.18 0.66
"654" "Oxyura_australis" 0.92 0.58 0.22
"655" "Oxyura_maccoa" 1.28 0.54 0.07
"656" "Pachycephala_inornata" -0.14 0.02 0.05
"657" "Pachycephala_monacha" 0.21 -0.46 -0.64
"658" "Pachycephala_olivacea" -0.32 -0.03 0.2
"659" "Pachycephala_pectoralis" 0.64 0.61 1.37
"660" "Aleadryas_rufinucha" -0.69 -0.54 -0.33
"661" "Pachycephala_rufiventris" 0.56 0.08 0.03
"662" "Pachycephala_rufogularis" -0.24 0 0.27
"663" "Pachycephala_schlegelii" 2.11 0.98 1.65
"664" "Pachycephala_simplex" -0.51 -0.55 -0.35
"665" "Pachycephala_soror" 0.16 0.46 1.13
"666" "Pandion_haliaetus" -0.39 -0.65 -0.79
"667" "Panurus_biarmicus" 0.84 0.72 0.35
"668" "Paradisaea_guilielmi" NA 1.46 NA
"669" "Paradisaea_minor" 3.86 2.02 4.31
"670" "Paradisaea_raggiana" 1.12 0.81 2.43
"671" "Paradisaea_rudolphi" 0.5 1.71 NA
"672" "Pardalotus_rubricatus" -0.05 -0.05 0.2
"673" "Pardalotus_striatus" -0.56 -0.53 -0.37
"674" "Pardalotus_xanthopygus" 0.05 0.81 1.43
"675" "Paroaria_coronata" -0.64 -0.46 -0.31
"676" "Parotia_lawesii" 1.84 4.65 NA
"677" "Parotia_wahnesi" 2.98 3.23 NA
"678" "Parula_americana" -0.34 -0.24 -0.33
"679" "Parus_ater" -0.81 -0.09 -0.58
"680" "Parus_atricapillus" -0.46 -0.17 -0.41
"681" "Baeolophus_bicolor" -0.38 -0.61 -0.55
"682" "Parus_caeruleus" -0.13 0.97 0.05
"683" "Parus_carolinensis" -0.27 -0.62 -0.67
"684" "Parus_gambeli" -0.68 -0.66 -0.63
"685" "Parus_hudsonicus" -0.68 -0.45 -0.51
"686" "Baeolophus_inornatus" -0.52 -0.79 -0.73
"687" "Parus_major" -0.53 1 -0.19
"688" "Parus_montanus" -0.57 -0.26 -0.44
"689" "Parus_sclateri" -0.88 -0.33 -0.54
"690" "Baeolophus_wollweberi" -0.7 -0.58 -0.53
"691" "Passer_domesticus" 0.68 0.2 0.4
"692" "Passer_hispaniolensis" 0.44 0.2 0.31
"693" "Passer_montanus" -0.81 -0.66 -0.63
"694" "Passerculus_sandwichensis" -0.05 -0.61 -0.57
"695" "Passerella_iliaca" -0.11 -0.49 -0.47
"696" "Passerina_caerulea" 2.74 4.8 3.53
"697" "Passerina_ciris" 1.89 2.52 3.14
"698" "Passerina_cyanea" 1.94 2.56 3.14
"699" "Passerina_versicolor" 0.86 2.67 2.1
"700" "Pelagodroma_marina" -0.25 -0.37 -0.46
"701" "Pelecanoides_urinatrix" -0.53 -0.51 -0.72
"702" "Peltops_blainvillii" -0.8 0.29 -0.52
"703" "Peltops_montanus" -0.55 -0.41 -0.61
"704" "Penelopina_nigra" 0.2 1.73 2.58
"705" "Peneothello_cyanus" -0.82 0.71 -0.46
"706" "Peneothello_sigillatus" -0.7 0.85 0.02
"707" "Perdicula_asiatica" -0.66 -0.44 -0.14
"708" "Petroica_goodenovii" 3.04 2.39 3.4
"709" "Petroica_multicolor" 0.46 0.56 0.6
"710" "Petroica_rodinogaster" 0.02 2.32 0.82
"711" "Petroica_rosea" -0.25 0.54 0.24
"712" "Pezopetes_capitalis" -0.89 -0.66 -0.48
"713" "Phaethornis_superciliosus" -0.62 0.2 0.23
"714" "Phalacrocorax_melanoleucos" -0.53 -0.71 -0.64
"715" "Phalacrocorax_sulcirostris" -0.91 -0.54 -0.72
"716" "Phalaropus_fulicarius" -0.62 0.06 0.06
"717" "Phalaropus_lobatus" -0.36 -0.18 -0.21
"718" "Steganopus_tricolor" 0.33 -0.09 -0.06
"719" "Phaps_chalcoptera" 0.19 0.17 0.6
"720" "Pharomachrus_auriceps" -0.4 0.21 0.84
"721" "Phasianus_colchicus" 1.99 1.45 1.52
"722" "Pheucticus_ludovicianus" 1.11 1.75 1.96
"723" "Pheucticus_melanocephalus" 1.15 0.78 1.27
"724" "Philemon_argenticeps" 0.28 -0.52 -0.63
"725" "Philemon_buceroides" -0.32 -0.72 -0.73
"726" "Philemon_citreogularis" -0.14 -0.56 -0.55
"727" "Philemon_corniculatus" -0.11 -0.44 -0.57
"728" "Philemon_meyeri" -0.58 -0.73 -0.62
"729" "Philomachus_pugnax" -0.47 -0.45 -0.36
"730" "Phoenicurus_phoenicurus" 1.42 0.96 1.2
"731" "Phylidonyris_melanops" 0.65 -0.24 -0.44
"732" "Phylidonyris_novaehollandiae" -0.25 -0.52 -0.54
"733" "Phylidonyris_pyrrhopterus" 0.28 0.45 0.73
"734" "Bernieria_cinereiceps" -0.59 -0.79 -0.69
"735" "Phylloscopus_collybita" -0.3 -0.68 -0.57
"736" "Phylloscopus_sibilatrix" -0.4 -0.71 -0.55
"737" "Phylloscopus_trochilus" -0.36 -0.57 -0.28
"738" "Pica_pica" -0.52 -0.6 -0.47
"739" "Picoides_arcticus" 0.56 0.36 1.1
"740" "Picoides_pubescens" 0.51 0.53 0.67
"741" "Picoides_scalaris" 0.21 0.6 0.96
"742" "Picoides_villosus" -0.01 0.49 NA
"743" "Pipilo_chlorurus" 0.01 -0.58 -0.39
"744" "Pipilo_crissalis" -0.65 -0.69 -0.57
"745" "Pipilo_erythrophthalmus" -0.12 0.84 1.21
"746" "Pipilo_fuscus" -0.45 -0.53 -0.47
"747" "Pipilo_maculatus" -0.48 -0.02 0.06
"748" "Pipilo_ocai" -0.42 -0.78 -0.64
"749" "Lepidothrix_coronata" 1.67 1.7 2.49
"750" "Pipra_erythrocephala" 2.39 1.29 2.91
"751" "Pipra_filicauda" 1.25 1.5 2.52
"752" "Pipra_mentalis" 1.94 1.99 2.67
"753" "Piranga_bidentata" -0.02 0.53 1.11
"754" "Piranga_erythrocephala" NA 0.47 NA
"755" "Piranga_flava" -0.15 0.81 2.57
"756" "Piranga_ludoviciana" 1 0.84 1.47
"757" "Piranga_olivacea" 2.21 2.86 3.49
"758" "Piranga_rubra" -0.05 1.6 2.69
"759" "Pitohui_ferrugineus" -0.7 -0.75 -0.58
"760" "Pitohui_nigrescens" 0.21 1.59 2.22
"761" "Platycercus_elegans" -0.5 -0.26 -0.49
"762" "Plectorhyncha_lanceolata" -0.49 -0.71 -0.63
"763" "Plectrophenax_nivalis" 0.92 0.05 -0.2
"764" "Plectropterus_gambensis" 0.64 0.48 0
"765" "Ploceus_alienus" -0.58 0.12 0.42
"766" "Ploceus_baglafecht" -0.68 -0.49 -0.22
"767" "Ploceus_cucullatus" 2.01 1.19 2.8
"768" "Ploceus_nelicourvi" -0.21 0.23 1.45
"769" "Ploceus_nigerrimus" 1.06 0.85 1.52
"770" "Ploceus_philippinus" -0.21 -0.61 -0.47
"771" "Pluvialis_apricaria" -0.68 -0.58 -0.34
"772" "Pluvialis_dominica" -0.29 -0.61 -0.43
"773" "Pluvialis_squatarola" 0.12 -0.35 -0.38
"774" "Podargus_strigoides" -0.24 -0.48 -0.6
"775" "Podiceps_nigricollis" -0.49 -0.36 -0.46
"776" "Podilymbus_podiceps" -0.18 -0.42 -0.58
"777" "Poecilodryas_hypoleuca" -0.26 -0.41 -0.49
"778" "Poecilodryas_superciliosa" 0.2 -0.44 -0.68
"779" "Poephila_cincta" -0.48 -0.55 -0.55
"780" "Polioptila_caerulea" -0.09 -0.1 -0.49
"781" "Pomatostomus_halli" -0.69 -0.8 -0.74
"782" "Pomatostomus_ruficeps" -0.48 -0.59 -0.48
"783" "Pomatostomus_superciliosus" -0.33 -0.63 -0.46
"784" "Pomatostomus_temporalis" -0.42 -0.72 -0.62
"785" "Pooecetes_gramineus" -0.6 -0.61 -0.58
"786" "Porphyrio_porphyrio" -0.81 -0.47 -0.58
"787" "Progne_chalybea" -0.18 0.91 0.17
"788" "Progne_subis" 0.69 2.41 2.16
"789" "Progne_tapera" -0.55 -0.62 -0.56
"790" "Protonotaria_citrea" 0.67 0.54 1.66
"791" "Prunella_modularis" -0.33 -0.52 -0.4
"792" "Psarocolius_decumanus" -0.96 -0.51 -0.65
"793" "Psarocolius_montezuma" -0.82 -0.72 -0.58
"794" "Psarocolius_wagleri" -0.96 -0.34 -0.49
"795" "Psephotus_haematonotus" -0.24 1.23 1.46
"796" "Cyanocorax_morio" -0.47 -0.68 -0.63
"797" "Psophodes_cristatus" -0.85 -0.77 -0.72
"798" "Psophodes_olivaceus" -0.62 -0.43 -0.53
"799" "Ptilinopus_magnificus" -0.88 -0.58 -0.49
"800" "Ptilinopus_regina" 0.21 0.33 0.42
"801" "Ptilinopus_superbus" 2.45 3.04 1.4
"802" "Ptilonorhynchus_violaceus" 1.69 5.38 3.5
"803" "Ptiloprora_guisei" -0.42 -0.53 -0.5
"804" "Ptiloris_magnificus" 2.05 2.17 3.72
"805" "Ptilorrhoa_caerulescens" NA 0.41 NA
"806" "Puffinus_tenuirostris" -0.7 -0.59 -0.55
"807" "Pycnonotus_barbatus" -0.71 -0.65 -0.62
"808" "Andropadus_latirostris" -0.48 -0.51 -0.49
"809" "Pycnoptilus_floccosus" -0.93 -0.73 -0.64
"810" "Pycnopygius_cinereus" -0.64 -0.67 -0.64
"811" "Pygoscelis_adeliae" NA 0.6 NA
"812" "Pyrocephalus_rubinus" 0.67 2.58 2.45
"813" "Pyrrholaemus_brunneus" -0.31 -0.08 -0.04
"814" "Quiscalus_major" 0.95 2.07 2.19
"815" "Quiscalus_mexicanus" 0.97 1.55 2.12
"816" "Quiscalus_quiscula" -0.57 0.54 0.34
"817" "Rallus_elegans" -0.53 -0.65 -0.64
"818" "Rallus_limicola" -0.4 -0.56 -0.42
"819" "Ramphocaenus_melanurus" -0.91 -0.85 -0.81
"820" "Ramphocelus_passerinii" 1.23 1.61 2.19
"821" "Regulus_calendula" 0.19 -0.11 0.59
"822" "Regulus_satrapa" -0.01 -0.16 0.16
"823" "Rhipidura_albolimbata" -0.32 -0.35 -0.48
"824" "Rhipidura_atra" 0.49 2.77 2.95
"825" "Rhipidura_brachyrhyncha" -0.7 -0.78 -0.67
"826" "Rhipidura_fuliginosa" -0.33 -0.59 -0.53
"827" "Rhipidura_hyperythra" -0.43 -0.24 -0.13
"828" "Rhipidura_leucophrys" -0.86 -0.2 -0.27
"829" "Rhipidura_leucothorax" -0.37 -0.26 -0.36
"830" "Rhipidura_rufidorsa" NA -0.62 NA
"831" "Rhipidura_rufiventris" -0.25 -0.7 -0.78
"832" "Rhipidura_threnothorax" -0.63 -0.25 -0.3
"833" "Riparia_riparia" -0.23 -0.45 -0.57
"834" "Rissa_tridactyla" -0.37 -0.72 -0.66
"835" "Rostratula_benghalensis" -0.05 -0.21 -0.11
"836" "Rupicola_peruvianus" 1.49 1.12 2.12
"837" "Saltator_maximus" -0.77 -0.67 -0.55
"838" "Sappho_sparganura" -0.15 0.09 0.98
"839" "Saxicola_caprata" 0.02 1.47 1.49
"840" "Saxicola_torquatus" 0.1 0.75 1.34
"841" "Sayornis_nigricans" -0.79 -0.62 -0.66
"842" "Sayornis_saya" -0.54 -0.76 -0.66
"843" "Schoeniophylax_phryganophilus" -0.71 -0.57 -0.52
"844" "Scolopax_minor" -0.6 -0.73 -0.68
"845" "Seiurus_aurocapilla" 0.25 -0.56 -0.7
"846" "Seiurus_noveboracensis" -0.67 -0.77 -0.69
"847" "Sericornis_beccarii" -0.01 -0.31 -0.11
"848" "Sericornis_citreogularis" -0.45 -0.75 -0.63
"849" "Sericornis_frontalis" -0.71 -0.53 -0.44
"850" "Sericornis_magnirostra" -0.41 -0.64 -0.54
"851" "Sericornis_nouhuysi" -0.53 -0.53 -0.34
"852" "Sericornis_papuensis" -0.48 -0.5 -0.42
"853" "Sericornis_perspicillatus" -0.52 -0.56 -0.45
"854" "Sericornis_spilodera" -0.69 -0.7 -0.6
"855" "Sericulus_chrysocephalus" 1.47 1.46 2.44
"856" "Serinus_canaria" 0.1 0.31 0.34
"857" "Setophaga_ruticilla" 0.72 0.46 0.46
"858" "Sialia_currucoides" 1.64 2.77 2.51
"859" "Sialia_mexicana" 1.11 3.77 1.63
"860" "Sialia_sialis" 1.69 2.9 1.47
"861" "Sicalis_flaveola" 0.22 1.01 1.89
"862" "Sitta_canadensis" -0.19 -0.17 -0.61
"863" "Sitta_carolinensis" 0.69 0.02 -0.29
"864" "Sitta_pusilla" -0.04 -0.36 -0.43
"865" "Sitta_pygmaea" -0.52 -0.34 -0.25
"866" "Smicrornis_brevirostris" -0.15 -0.67 -0.59
"867" "Somateria_mollissima" 6.36 2 1.37
"868" "Sphecotheres_viridis" 1.09 0.64 1.25
"869" "Sphyrapicus_varius" -0.4 0.39 2.13
"870" "Spiza_americana" 1.11 0.04 0.04
"871" "Spizella_arborea" -0.64 -0.69 -0.66
"872" "Spizella_atrogularis" -0.62 -0.61 -0.59
"873" "Spizella_breweri" -0.53 -0.66 -0.53
"874" "Spizella_pallida" -0.18 -0.64 -0.45
"875" "Spizella_passerina" -0.4 -0.65 -0.58
"876" "Spizella_pusilla" -0.07 -0.56 -0.41
"877" "Stagonopleura_bella" -0.25 -0.29 -0.32
"878" "Stagonopleura_guttata" -0.02 -0.63 -0.65
"879" "Stagonopleura_oculata" -0.84 -0.46 -0.55
"880" "Stercorarius_longicaudus" -0.64 -0.73 -0.65
"881" "Stercorarius_parasiticus" -0.46 -0.81 -0.8
"882" "Stercorarius_pomarinus" -0.58 -0.81 -0.77
"883" "Sterna_forsteri" 0.31 -0.59 -0.81
"884" "Sterna_hirundo" -0.15 -0.62 -0.71
"885" "Sterna_paradisaea" 0.22 -0.55 -0.75
"886" "Stiltia_isabella" -0.31 -0.57 -0.36
"887" "Stigmatopelia_chinensis" -0.46 -0.35 -0.29
"888" "Streptopelia_decaocto" -0.3 -0.61 -0.53
"889" "Stigmatopelia_senegalensis" -0.53 -0.7 -0.64
"890" "Strix_aluco" -0.39 -0.62 -0.47
"891" "Strix_nebulosa" -0.6 -0.72 -0.66
"892" "Strix_virgata" -0.38 -0.65 -0.65
"893" "Struthidea_cinerea" -0.7 -0.4 -0.48
"894" "Struthio_camelus" 0.84 0.65 -0.01
"895" "Sturnella_magna" -0.48 -0.49 -0.29
"896" "Sturnella_militaris" -0.03 1.01 1.46
"897" "Sturnella_neglecta" -0.58 -0.57 -0.39
"898" "Sturnus_roseus" -0.3 0.33 -0.35
"899" "Sturnus_vulgaris" 0.68 1.02 0.4
"900" "Surnia_ulula" -0.56 -0.75 -0.72
"901" "Sylvia_atricapilla" 0.04 -0.05 0.21
"902" "Sylvia_communis" -0.61 -0.64 -0.45
"903" "Synthliboramphus_antiquus" -0.66 -0.73 -0.69
"904" "Tachybaptus_novaehollandiae" -0.45 -0.14 -0.58
"905" "Tachycineta_bicolor" 0.21 -0.38 -0.49
"906" "Taeniopygia_guttata" -0.21 -0.29 -0.26
"907" "Tangara_chilensis" 0.05 -0.42 -0.48
"908" "Tanysiptera_sylvia" 0.02 0.13 0.38
"909" "Tersina_viridis" 3.25 1.28 3.36
"910" "Tetrao_urogallus" 1.18 0.95 1.29
"911" "Thamnophilus_punctatus" -0.09 1.09 1.92
"912" "Thinocorus_orbignyianus" -0.04 -0.2 0.01
"913" "Thraupis_bonariensis" 1.85 3.2 3.02
"914" "Thraupis_cyanocephala" -0.57 -0.66 -0.65
"915" "Thraupis_episcopus" 0.4 0.03 -0.45
"916" "Thraupis_sayaca" 0.53 -0.25 -0.44
"917" "Thryothorus_ludovicianus" -0.53 -0.64 -0.63
"918" "Tiaris_olivaceus" 0.28 -0.17 0.17
"919" "Timeliopsis_fulvigula" -0.64 -0.59 -0.26
"920" "Tinamus_major" -0.19 -0.39 -0.29
"921" "Toxostoma_curvirostre" -0.73 -0.4 -0.43
"922" "Toxostoma_rufum" -0.07 -0.48 -0.55
"923" "Toxorhamphus_novaeguineae" -0.82 -0.85 -0.67
"924" "Toxorhamphus_poliopterus" -0.52 -0.63 -0.34
"925" "Tregellasia_leucops" -0.44 -0.44 -0.09
"926" "Illadopsis_pyrrhoptera" -0.65 -0.55 -0.45
"927" "Trichoglossus_chlorolepidotus" -0.68 -0.55 -0.17
"928" "Trichoglossus_haematodus" -0.28 -0.6 -0.45
"929" "Tringa_flavipes" -0.53 -0.83 -0.77
"930" "Tringa_glareola" 0.01 -0.48 -0.45
"931" "Actitis_macularius" -0.14 -0.63 -0.69
"932" "Tringa_melanoleuca" -0.21 -0.63 -0.63
"933" "Tringa_solitaria" -0.56 -0.63 -0.5
"934" "Troglodytes_aedon" -0.49 -0.76 -0.7
"935" "Troglodytes_troglodytes" -0.86 -0.76 -0.49
"936" "Trogon_melanurus" -0.04 1.32 1.43
"937" "Tryngites_subruficollis" -0.56 -0.67 -0.48
"938" "Turdus_grayi" -0.75 -0.8 -0.51
"939" "Turdus_merula" 0.72 0.51 0.8
"940" "Turdus_migratorius" -0.3 -0.4 -0.23
"941" "Turdus_philomelos" -0.42 -0.7 -0.53
