"ID" "species" "pca" "segclass" "colordiscrim"
"108" "Baryphthengus_martii" -0.7 -0.26 -0.19
"109" "Basileuterus_belli" -0.09 -0.57 -0.24
"110" "Basileuterus_bivittatus" -0.29 -0.56 -0.16
"111" "Basileuterus_coronatus" -0.12 -0.49 -0.22
"112" "Basileuterus_delatrii" -0.62 -0.56 -0.46
"113" "Basileuterus_melanogenys" -0.37 -0.59 -0.47
"114" "Basileuterus_rufifrons" -0.11 -0.59 -0.37
"115" "Batis_mixta" 0.61 2.59 1.53
"116" "Batis_molitor" 1.4 1.41 1.23
"117" "Biziura_lobata" -0.78 -0.39 -0.58
"118" "Bombycilla_cedrorum" -0.64 -0.67 -0.5
"119" "Bombycilla_garrulus" NA -0.25 -0.35
"120" "Bonasa_umbellus" -0.22 -0.53 -0.47
"121" "Branta_bernicla" -0.36 -0.6 -0.72
"122" "Branta_canadensis" -0.65 -0.69 -0.68
"123" "Branta_leucopsis" -0.1 -0.52 -0.72
"124" "Branta_sandvicensis" NA -0.64 NA
"125" "Brotogeris_cyanoptera" -0.81 -0.37 -0.29
"126" "Bubo_virginianus" -0.27 -0.59 -0.52
"127" "Bucephala_albeola" 2.68 1.3 0.92
"128" "Burhinus_grallarius" 0.03 -0.55 -0.63
"129" "Buteo_buteo" -0.67 -0.71 -0.51
"130" "Buteo_jamaicensis" -0.61 -0.69 -0.61
"131" "Buteo_lagopus" -0.53 -0.47 -0.54
"132" "Buteo_magnirostris" -0.79 -0.81 -0.73
"133" "Buteo_platypterus" -0.52 -0.61 -0.52
"134" "Buthraupis_montana" -0.06 -0.33 -0.68
"135" "Cacatua_galerita" 0.7 -0.51 -0.75
"136" "Cacicus_cela" 0.37 1.5 0.12
"137" "Cairina_moschata" 0.27 0.13 0.33
"138" "Calamanthus_campestris" 0.06 -0.49 -0.43
"139" "Calamospiza_melanocorys" 3.1 1.12 1.03
"140" "Calandrella_cinerea" 0.02 -0.52 -0.67
"141" "Calcarius_lapponicus" 0.51 0.06 0.23
"142" "Calcarius_mccownii" 0.4 -0.11 0.1
"143" "Calcarius_ornatus" 0.86 0.15 0.52
"144" "Calcarius_pictus" 0.37 0.07 0.34
"145" "Calidris_acuminata" -0.68 -0.79 -0.52
"146" "Calidris_alba" 0.84 -0.04 -0.42
"147" "Calidris_alpina" -0.39 -0.73 -0.68
"148" "Calidris_bairdii" -0.25 -0.68 -0.61
"149" "Calidris_canutus" -0.33 -0.65 -0.57
"150" "Calidris_fuscicollis" -0.34 -0.76 -0.77
"151" "Calidris_himantopus" -0.42 -0.69 -0.64
"152" "Calidris_maritima" -0.34 -0.56 -0.65
"153" "Calidris_mauri" -0.03 -0.43 -0.52
"154" "Calidris_melanotos" -0.5 -0.52 -0.48
"155" "Calidris_minuta" -0.24 -0.56 -0.51
"156" "Calidris_minutilla" -0.66 -0.71 -0.7
"157" "Calidris_ptilocnemis" -0.22 -0.63 -0.53
"158" "Calidris_pusilla" -0.11 -0.68 -0.63
"159" "Calidris_ruficollis" -0.2 -0.52 -0.45
"160" "Calidris_temminckii" -0.72 -0.76 -0.62
"161" "Callipepla_californica" 0.27 0.14 0.47
"162" "Callipepla_gambelii" 1.65 0.45 0.21
"163" "Callipepla_squamata" 0.01 -0.57 -0.62
"164" "Callocephalon_fimbriatum" -0.06 1.52 0.95
"165" "Calypte_anna" 0.06 1.28 1.19
"166" "Calyptorhynchus_banksii" -0.24 0.46 0.5
"167" "Capito_niger" -0.18 -0.07 1.32
"168" "Cardinalis_cardinalis" 0.24 1.19 1.81
"169" "Cardinalis_sinuatus" -0.42 0.57 1.09
"170" "Carduelis_cannabina" -0.55 -0.19 -0.07
"171" "Carduelis_carduelis" -0.55 -0.46 -0.4
"172" "Carduelis_chloris" -0.09 0.38 1.21
"173" "Carduelis_flammea" -0.2 0.32 0.22
"174" "Carduelis_hornemanni" -0.22 -0.17 0.01
"175" "Carduelis_pinus" 0.34 -0.04 0.15
"176" "Carduelis_psaltria" 0.63 0.84 2.46
"177" "Carduelis_tristis" 2.27 1.22 1.92
"178" "Carpodacus_cassinii" 0.14 0.41 0.2
"179" "Carpodacus_erythrinus" -0.52 0.62 0.23
"180" "Carpodacus_mexicanus" 0.01 0.26 0.14
"181" "Carpodacus_purpureus" -0.07 0.9 0.86
"182" "Casmerodius_albus" 0.17 -0.72 -0.72
"183" "Catharus_aurantiirostris" -0.34 -0.58 -0.72
"184" "Catharus_fuscescens" -0.71 -0.46 -0.3
"185" "Catharus_gracilirostris" -0.73 -0.71 -0.59
"186" "Catharus_guttatus" -0.36 -0.58 -0.39
"187" "Catharus_minimus" -0.6 -0.59 -0.42
"188" "Catharus_occidentalis" -0.47 -0.76 -0.7
"189" "Catharus_ustulatus" -0.73 -0.16 0.49
"190" "Centropus_phasianinus" -0.46 -0.74 -0.58
"191" "Cepphus_columba" -0.33 -0.32 -0.35
"192" "Cepphus_grylle" -0.7 -0.62 -0.75
"193" "Cercomacra_tyrannina" 0.18 -0.72 -0.69
"194" "Chersomanes_albofasciata" -0.58 1.52 1.42
"195" "Certhionyx_variegatus" 2.72 -0.61 -0.32
"196" "Megaceryle_alcyon" 1.15 1.45 1.49
"197" "Ceryle_rudis" 1.42 0.61 0.07
"198" "Chaetura_pelagica" NA 0.04 -0.49
"199" "Charadrius_bicinctus" -0.21 -0.62 -0.57
"200" "Charadrius_dubius" -0.23 -0.73 -0.77
"201" "Charadrius_hiaticula" -0.27 -0.64 -0.62
"202" "Charadrius_marginatus" -0.42 -0.78 -0.75
"203" "Elseyornis_melanops" 0.18 -0.5 -0.62
"204" "Eudromias_morinellus" -0.34 -0.72 -0.63
"205" "Thinornis_rubricollis" -0.57 -0.53 -0.58
