"","model","logLk","k","AIC","AICc","delta_AICc","Akaike_weights","rank"
"BAYAREALIKE","BAYAREALIKE",-5044.58366258547,2,10093.1673251709,10093.1688431975,476.574507999287,0,2
"DIVALIKE","DIVALIKE",-5968.69143873271,2,11941.3828774654,11941.384395492,2324.79006029376,0,5
"DEC","DEC",-5538.74558762312,2,11081.4911752462,11081.4926932728,1464.8983580746,0,3
"BAYAREALIKE+J","BAYAREALIKE+J",-4805.29488969478,3,9616.58977938956,9616.59433519822,0,100,1
"DIVALIKE+J","DIVALIKE+J",-5968.65240929868,3,11943.3048185974,11943.309374406,2326.7150392078,0,6
"DEC+J","DEC+J",-5538.74488951248,3,11083.489779025,11083.4943348336,1466.89999963541,0,4
